name,validity_flag,Comment,A,B,C,PA,RA_centroid,Dec_centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L__888_,ABS_MAG,flux,Class_num,id,RAJ2000,DEJ2000,zphot,e_zphot,fclean,fqual,Separation,AllWISE,RAJ2000_x,DEJ2000_x,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID_x,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist,RAFdeg,DEFdeg,DES,CoadID,Aimg,a_Aimg,Bimg,e_Bimg,PA_x,e_PA,KRad,S_Gg,S_Gr,S_Gi,S_Gz,S_GY,gmag,rmag,imag,zmag,Ymag,e_gmag,e_rmag,e_imag,e_zmag,e_Ymag,gFlag,rFlag,iFlag,zFlag,YFlag,angDist_x,Ratio
J200653.0-533815,4.0,frx,16.35,33.5031,20.2453,4.616352,301.719956,-53.638747,FRx,301.7206979,-53.637438,301.720818,-53.637445,17.223400115966797,301.7209359,-53.63974411,0.0,0.0,0.0,0.007479257,1.5,8000064725004962,301.720818076901,-53.637445412611,1.031999945640564,1.1480000019073486,1,0,0.2578916144567652,J200652.96-533814.7,301.7206979,-53.637438,0.0672999992966651,0.0653999969363212,139.5,14.468999862670898,14.446000099182127,12.815999984741213,9.1850004196167,15.359999656677246,14.720000267028809,14.55799961090088,0.0289999991655349,0.0480000004172325,,,0.0469999983906745,0.0640000030398368,0.0900000035762786,3008053101351000188,0000,0,00nn,AAUU,-326.0,143.0,64.0,146.0,0.3810000121593475,4.3e-05,301.720792568,-53.637404962,J200652.99-533814.6,166574842,2.838000059127808,0.003000000026077,2.73799991607666,0.003000000026077,-41.37487,55.28759,3.5,0.984000027179718,0.9919999837875366,0.9980000257492064,0.9950000047683716,0.8650000095367432,18.457399368286133,17.20669937133789,16.767499923706055,16.533000946044922,16.48740005493164,0.001468,0.000708,0.000676,0.000979,0.002989,3,3,3,3,3,0.234466,1.1124031612179817
J200933.8-531013,4.0,fr2? T-shaped galaxy,24.59,58.4313,19.3968,117.450998,302.7595201,-51.95180065,FR1,302.3908144,-53.1701564,302.39078,-53.170127,15.503399848937988,0.0,0.0,0.0,0.0,0.0,0.091996961,1.0,8000066451004481,302.390783108655,-53.170128669461,0.8539999723434448,0.6010000109672546,0,0,0.1205231082306964,J200933.79-531012.5,302.3908144,-53.1701564,0.052700001746416,0.050900001078844,114.3000030517578,13.604999542236328,13.593000411987305,12.579999923706056,8.98900032043457,14.227999687194824,13.727999687194824,13.701000213623049,0.025000000372529,0.0340000018477439,,,0.0340000018477439,0.0350000001490116,0.0430000014603138,3032053101351013073,0000,0,00nn,AAUU,98.0,94.0,-143.0,94.0,0.0480000004172325,8.6e-05,302.390771008,-53.170092759,J200933.78-531012.3,164662440,3.553999900817871,0.0020000000949949,3.157999992370605,0.0020000000949949,-22.46242,69.7406,3.5,0.9950000047683716,0.9940000176429749,0.0299999993294477,0.1620000004768371,0.7860000133514404,16.127399444580078,15.514800071716309,16.44890022277832,15.841500282287598,15.17140007019043,0.000383,0.000277,0.000689,0.000713,0.00108,2,6,2,2,2,0.247506,0.7037471082324067
J201051.4-525836,4.0,fr2 ID OK,116.4,137.8404,39.1813,44.730675,302.7150369,-52.97838459,FR2,302.7142212,-52.97663,302.713805,-52.976629,21.105300903320312,0.0,0.0,0.0,0.0,0.0,0.025968414,2.0,8000067321003124,302.713798915255,-52.976627271397,1.3259999752044678,0.9819999933242798,1,0,0.915442162623794,J201051.41-525835.8,302.7142212,-52.97663,0.1485999971628189,0.1383000016212463,149.60000610351562,16.042999267578125,15.590999603271484,12.685999870300291,8.39900016784668,,,,0.0520000010728836,0.1099999994039535,,,,,,3032053101351034481,0000,0,0nnn,ABUU,527.0,517.0,-400.0,537.0,,0.00013,302.713799507,-52.976591646,J201051.31-525835.7,167471624,2.700999975204468,0.0240000002086162,2.20199990272522,0.0170000009238719,-84.35864,4.08261,3.5,0.4650000035762787,0.9160000085830688,0.9850000143051147,0.8569999933242798,0.7919999957084656,22.68409919738769,21.21529960632324,19.718700408935547,19.08679962158203,18.974199295043945,0.070816,0.035801,0.012146,0.009293,0.032713,0,0,0,0,0,0.924476,0.7405731611517236
J201252.8-495003,4.0,frx,21.3,38.7394,17.483,65.97348,303.2207076,-49.83524989,FRx,303.2198258,-49.8341082,303.21975,-49.834166,18.962099075317383,0.0,0.0,0.0,0.0,0.0,0.0,1.5,8000079074000825,303.219754010236,-49.834172000659,0.5550000071525574,1.1699999570846558,1,0,0.2837987043342704,J201252.75-495002.7,303.2198257,-49.8341082,0.2955999970436096,0.268200010061264,155.5,16.92799949645996,16.625999450683594,12.8149995803833,8.854999542236328,,,,0.0970000028610229,0.248999997973442,,,,,,3042050001351038038,0000,0,nnnn,ABUU,495.0,1199.0,32.0,1276.0,,0.000159,303.219735198,-49.834123324,J201252.73-495002.8,163285711,2.628000020980835,0.0109999999403953,2.5929999351501465,0.0109999999403953,-34.70858,-63.63776,3.5,0.9729999899864196,0.0350000001490116,0.9580000042915344,0.597000002861023,0.0309999994933605,19.856599807739254,18.948999404907227,18.65530014038086,18.53030014038086,18.527999877929688,0.005096,0.003671,0.004764,0.008481,0.02377,0,0,0,0,0,0.21731,2.1081080036149413
J201555.8-583651,1.0,hymors - good example,107.8255638,139.6358847,35.60642183,49.86871131,303.984628,-58.61353067,FR2,303.9823327,-58.6141663,303.982402,-58.61421,17.72450065612793,0.0,0.0,0.0,0.0,0.0,0.083169883,2.0,8000049382000229,303.982403714514,-58.614211822359,1.2230000495910645,2.3310000896453857,1,0,0.211149090866803,J201555.75-583650.9,303.9823327,-58.6141663,0.0993999987840652,0.0953999981284141,165.60000610351562,15.218000411987305,15.45699977874756,12.682000160217283,9.09000015258789,16.05699920654297,15.52299976348877,15.013999938964844,0.0379999987781047,0.1000000014901161,0.4580000042915344,,0.0829999968409538,0.1159999966621398,0.1159999966621398,3052059101351040203,0000,0,nnnn,AACU,,,,,0.096000000834465,7.1e-05,303.982367547,-58.614161146,J201555.76-583650.9,167088934,2.621999979019165,0.0040000001899898,2.568000078201294,0.003000000026077,-24.48116,-34.31843,3.5,0.9729999899864196,0.9829999804496764,0.9860000014305116,0.9629999995231628,0.8140000104904175,18.795499801635746,17.74020004272461,17.361099243164062,17.197500228881836,17.14349937438965,0.001562,0.000851,0.00108,0.001367,0.005006,2,2,2,2,2,0.067918,1.905968924878461
J201638.4-494122,1.0,frx,31.6227766,57.02752883,28.25301578,162.6099321,304.1591761,-49.68994833,FR2,304.1600358,-49.6894467,304.160114,-49.68936,16.581100463867188,304.1590304,-49.69098527,0.0,0.0,0.0,0.016965577,2.0,8000079077003817,304.160115043472,-49.689360386199,1.1299999952316284,1.3919999599456787,1,0,0.3614044464731785,J201638.40-494122.0,304.1600358,-49.6894467,0.065700002014637,0.0630000010132789,137.10000610351562,14.239999771118164,14.236000061035156,11.842000007629396,9.090999603271484,15.10200023651123,14.524999618530272,14.343999862670898,0.0289999991655349,0.0450000017881393,0.2549999952316284,,0.0419999994337558,0.0460000000894069,0.0640000030398368,3042050001351045773,0000,0,11nn,AABU,114.0,131.0,-189.0,136.0,0.3869999945163727,0.000122,304.160099059,-49.68932902,J201638.42-494121.5,164204224,3.318000078201294,0.0049999998882412,3.1700000762939453,0.0040000001899898,33.79395,-43.371,3.5,0.9869999885559082,0.99099999666214,0.9890000224113464,0.9829999804496764,0.3210000097751617,17.46780014038086,16.570600509643555,16.29170036315918,16.142799377441406,16.115999221801758,0.001291,0.001008,0.001193,0.001925,0.00442,2,2,2,2,2,0.448533,1.2318583768315374
J201723.1-505340,1.0,frx,28.63564213,60.14598027,28.43347071,99.28782043,304.3480738,-50.89473961,FRx,304.3463732,-50.8944682,304.346237,-50.894446,17.503999710083008,0.0,0.0,0.0,0.0,0.0,0.035172851,1.5,8000074459005856,304.346239001533,-50.894447266872,1.496000051498413,2.121999979019165,1,0,0.3139048756122239,J201723.12-505340.0,304.3463732,-50.8944682,0.121799997985363,0.1119000017642974,153.0,15.659000396728516,15.494000434875488,12.710000038146973,8.388999938964844,16.36400032043457,16.14699935913086,15.432000160217283,0.0439999997615814,0.1099999994039535,0.5410000085830688,,0.1120000034570694,0.1870000064373016,,3051051501351063473,0000,0,0nnn,ABCU,175.0,394.0,82.0,424.0,0.5429999828338623,4.2e-05,304.34622,-50.894398845,J201723.09-505339.8,167819435,3.190999984741211,0.0049999998882412,2.877000093460083,0.0040000001899898,45.63754,-66.11894,3.5,0.972000002861023,0.9850000143051147,0.930999994277954,0.7919999957084656,0.8109999895095825,18.080299377441406,17.503400802612305,17.34040069580078,17.258100509643555,17.268699645996094,0.001089,0.000873,0.001194,0.001952,0.006019,0,0,0,0,0,0.428199,1.4184491350075439
J201806.8-585945,4.0,fr2,84.0,107.542,26.8605,4.8169155,304.5277241,-58.99571432,FR2,304.5283624,-58.9957894,304.528421,-58.99584,17.076200485229492,304.5293125,-58.99310718,0.0,0.0,0.0,0.000781987,2.0,8000047879002841,304.528422628341,-58.995838968942,0.7540000081062317,1.281999945640564,1,0,0.2105168299955086,J201806.80-585944.8,304.5283624,-58.9957894,0.0881000012159347,0.0773999989032745,139.8000030517578,14.96500015258789,15.135000228881836,12.704999923706056,9.161999702453612,15.769000053405762,15.093999862670898,14.972999572753906,0.032999999821186,0.0740000009536743,,,0.0610000006854534,0.0930000022053718,0.1169999986886978,3052059101351034847,0000,0,nnnn,AAUU,,,,,0.1990000009536743,3.4e-05,304.52837779,-58.995801272,J201806.81-585944.8,168188408,2.696000099182129,0.003000000026077,2.625,0.003000000026077,-24.22029,75.59444,3.5,0.9940000176429749,0.9980000257492064,0.9950000047683716,0.984000027179718,0.8980000019073486,17.886499404907227,17.08639907836914,16.825000762939453,16.691099166870117,16.67449951171875,0.000906,0.000616,0.000768,0.000937,0.003501,0,0,0,0,0,0.051391,1.7002651616151467
J201853.3-514822,1.0,djs,0.0,45.06314308,33.72663673,55.42690664,304.7232022,-51.80644895,SINGLE,304.7222517,-51.8061549,304.721985,-51.806058,20.6968002319336,0.0,0.0,0.0,0.0,0.0,0.166394534,0.5,8000071748000886,304.721978670931,-51.806056249443,0.6480000019073486,0.9350000023841858,1,0,0.7039111998519161,J201853.34-514822.1,304.7222517,-51.8061549,0.1468999981880188,0.1362999975681305,144.89999389648438,15.94499969482422,15.87600040435791,12.564000129699709,8.588000297546387,,,,0.0520000010728836,0.1330000013113021,,,,,,3051051501351016396,0000,0,0nnn,ABUU,-83.0,510.0,-462.0,527.0,,0.000106,304.721973094,-51.806024707,J201853.27-514821.6,165162109,2.5850000381469727,0.0160000007599592,2.240000009536743,0.0130000002682209,-60.58908,24.87542,3.5,0.1379999965429306,0.9120000004768372,0.9520000219345092,0.9300000071525574,0.2399999946355819,22.07999992370605,20.730300903320312,19.40390014648437,18.796199798583984,18.66309928894043,0.032878,0.016447,0.006598,0.007513,0.023252,0,0,0,0,0,0.777358,1.4429012340001082
J201901.3-525420,4.0,weird and wonderful BT galaxy. A is total length of bent jets - photo,243.6,222.1523,132.6191,51.5289,304.720519,-52.92306923,FR2,304.7553721,-52.9055841,304.755364,-52.905573,14.065199851989746,304.7553536,-52.90557432,0.04470218,5.06e+23,-22.4908832,0.101859978,2.0,8000067326004002,304.75535360286,-52.905574317406,0.0520000010728836,0.0410000011324882,1,1,0.0534159977264902,J201901.28-525420.1,304.755372,-52.9055841,0.0405000001192092,0.0379000008106231,81.0999984741211,11.50100040435791,11.53600025177002,10.69200038909912,8.74899959564209,13.628999710083008,12.963000297546388,12.385000228881836,0.0230000000447034,0.0219999998807907,0.0839999988675117,0.3770000040531158,0.0780000016093254,0.101000003516674,0.0590000003576278,3057053101351037047,0000,5,001n,AAAC,-20.0,48.0,78.0,46.0,0.1439999938011169,0.000115,304.755337779,-52.905532196,J201901.28-525419.9,164892309,27.774999618530277,0.0140000004321336,27.4689998626709,0.0130000002682209,-12.60972,83.28175,3.5,0.0289999991655349,0.0289999991655349,0.0289999991655349,0.0289999991655349,0.0289999991655349,15.04889965057373,14.110300064086914,13.699600219726562,13.379899978637695,13.212400436401367,0.000556,0.000496,0.000456,0.00053,0.001448,2,2,2,2,2,0.201167,0.7884615439723219
