This sheet brings together all the data and decides on the classification,,,,,,Min_class=,20,arcsec,Guard-band,5,arcsec,,,,,,,,,
name,validity flag,Comment,A,B,C,PA,RA centroid,Dec centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L_{888},ABS_MAG,flux
J200447.6-513542,0,out of field ,0,0,0,0,0,0,NA,301.1982388,-51.5949554,301.198412,-51.595222,20.456,301.1984319,-51.59523474,0.52268153,0,0,-1
J200611.7-523234,1,triple bent fr2,66.12110102,96.7926726,53.92360964,78.29277477,301.5573448,-52.54366066,FR2,301.5489134,-52.5426905,301.548922,-52.54271,19.0143,301.5464643,-52.54310572,0,0,0,0.100997459
J200627.2-614924,4,fr2: RH cpt is not part of source,84.954,114.3634,36.2063,11.082569,301.610048,-61.825609,FR2,301.613436,-61.8234667,0,0,0,0,0,0,0,0,0.019079175
J200633.1-512446,1,frx,16.97056275,57.07884931,25.69755101,46.73643211,301.6381851,-51.41323925,FR1,301.6379327,-51.4128758,301.637812,-51.413258,22.2097,301.6377626,-51.41326051,0.86384463,1.07E+26,-21.55903575,0.022269708
J200640.0-603520,0,out of field,0,0,0,0,0,0,NA,301.6666541,-60.5889653,0,0,0,0,0,0,0,0,0
J200643.6-500500,1,isolated cpts,60.1,84.43610069,24.49840647,10.79634246,301.683609,-50.08004909,FR2,301.681759,-50.08341,301.68182,-50.083386,21.0514,301.6818243,-50.08339323,0.62301457,1.65E+25,-21.8506414,0.006296019
J200653.0-533815,4,frx,16.35,33.5031,20.2453,4.616352,301.719956,-53.638747,FRx,301.7206979,-53.637438,301.720818,-53.637445,17.2234,301.7209359,-53.63974411,0,0,0,0.007479257
J200654.3-501758,0,out of field,0,0,0,0,0,0,NA,301.7263081,-50.2995738,301.726137,-50.299968,22.1077,0,0,0,0,0,-1
J200701.5-493302,4,frx,14.89,42.9528,21.3112,33.222878,301.756914,-49.55056,FR1,301.7564283,-49.5504594,0,0,0,0,0,0,0,0,0.001248324
J200713.2-532344,1,frx,31.2409987,67.21862979,37.69322719,131.7196416,301.8050154,-53.39608428,FRx,301.8051025,-53.3954829,0,0,0,0,0,0,0,0,0.101288417
J200719.5-515252,1,fr2,27.20294102,46.06096556,14.63879527,34.3511798,301.830111,-51.88122577,FR2,301.8312291,-51.8810098,301.831241,-51.881036,21.4887,301.8312306,-51.88103737,0.8576686,1.63E+25,-22.2608992,0.002407126
J200721.2-521335,0,forms a double with J200734.3-521244,0,0,0,0,0,0,NA,301.8382573,-52.2264249,301.838382,-52.226705,22.3751,0,0,0,0,0,0.004312989
J200723.9-532428,4,frx,17.806,51.8122,28.0002,62.49155,301.848033,-53.407944,FR1,301.8493805,-53.4077463,301.849381,-53.407724,18.015,301.8493777,-53.4077188,0.2780101,0,0,0.06349548
J200734.7-512325,0,single: one-sided jet?,0,0,0,0,0,0,NA,301.8946713,-51.3902138,301.894662,-51.390307,18.4582,301.8946575,-51.39032679,0.3683687,0,0,0.005948281
J200734.3-521244,4,large fr2 with J200721.2-521335. new host is  301.872  -52.219,124.8,182.5473,29.2685,60.756573,301.867215,-52.21876953,FR2,301.8928578,-52.212251,301.892934,-52.212359,18.3147,301.8929298,-52.21236337,0.3164331,0,0,0.008095384
J200740.9-600738,0,out of field,0,0,0,0,0,0,NA,301.9205411,-60.1273373,301.920575,-60.127362,19.8169,0,0,0,0,0,0
J200751.0-624027,1,fr2,38.05259518,76.01791377,29.69074518,86.03216606,301.9650383,-62.67416307,FRx,301.9626645,-62.6740807,0,0,0,0,0,0,0,0,0.080822609
J200753.8-502330,4,fr2. (reclassified after feedback from Nikhel),0,109.5757,30.4622,109.057705,301.9784349,-50.39156034,SINGLE,301.9740026,-50.3915785,301.973904,-50.391489,23.9309,0,0,0,0,0,0.002974252
J200754.1-491650,0,out of field,0,0,0,0,0,0,NA,301.9755292,-49.2806543,0,0,0,0,0,0,0,0,0
J200800.0-512321,4,"triple fr2. new host prob at 302.061,-52.5147",44.29,68.8475,27.542,5.856014,302.0020983,-51.38849119,FR2,302.0001444,-51.3891044,302.000124,-51.389078,18.4552,302.0001387,-51.38908358,0.36081523,1.15E+24,-23.03364438,0.000717341
J200804.3-623744,4,frx,19.4,40.9786,25.6581,36.000748,302.01872,-62.62895062,FRx,302.0179022,-62.6287538,0,0,0,0,0,0,0,0,0.002257808
J200808.4-535055,0,out of field,0,0,0,0,0,0,NA,302.0349865,-53.8486338,302.035011,-53.848618,20.8693,302.0350184,-53.84861775,0.6303409,0,0,-1
J200815.3-512725,0,complex: blobby diffuse object,0,0,0,0,0,0,NA,302.0637561,-51.4568077,302.063767,-51.456795,17.6644,302.0637831,-51.45680242,0.26774085,0,0,0.001062181
J200814.4-523051,4,"triple fr2. new host prob at 302.061,-52.5147",55.03,95.3532,29.6696,323.22098,302.0609883,-52.51340295,FR2,302.0601948,-52.5141907,302.05995,-52.514165,23.1334,302.060883,-52.5143908,0.8165579,1.75E+25,-20.48529672,0.00437995
J200825.1-525526,4,large fr2. host ok,126,153.5643,23.0286,102.009547,302.1078694,-52.92287931,FR2,302.1047189,-52.9238024,302.104278,-52.923708,22.2933,0,0,0,0,0,0.004363297
J200823.0-583357,0,out of field ,0,0,0,0,0,0,NA,302.0957181,-58.5659637,302.095518,-58.565978,21.4847,302.0955168,-58.56596992,0.7566678,1.84E+25,-21.93140322,-1
J200828.6-530013,4,slightly twisted fr2,57,104.7788,37.8381,68.8831,302.1168313,-53.00368354,FR2,302.119062,-53.0035239,302.119067,-53.003635,22.2402,302.1183066,-53.00305061,0,0,0,0.07741893
J200839.7-511043,1,fr2,48.66210024,83.05730446,31.36314278,98.69481606,302.1650537,-51.17960394,FR2,302.1654539,-51.1787165,302.165427,-51.178645,21.4419,302.1654298,-51.1786508,0.7001757,4.83E+25,-21.76843174,0.016584796
J200849.4-512803,0,T-shaped galaxy?,0,0,0,0,0,0,NA,302.2057787,-51.4675266,302.205822,-51.467548,19.4264,302.2058279,-51.46754848,0.3864734,0,0,0.000543901
J200915.5-583607,1,fr2,17.20465053,41.74781034,27.00011505,126.6338099,302.3146073,-58.60191584,FR1,302.3146258,-58.6019245,302.31469,-58.601791,24.2509,0,0,0,0,0,0.017324463
J200920.8-494020,1,fr2,70.68238819,107.2494827,32.15710185,66.58110808,302.3328371,-49.67329331,FR2,302.3367279,-49.6722509,302.337127,-49.671942,23.6605,0,0,0,0,0,0.099608885
J200921.1-522406,3,cd fr2,64.8,78.81825795,25.57952946,128.3930839,302.3347627,-52.39976289,FR2,302.3380826,-52.4016104,302.338196,-52.401626,22.7947,302.3342616,-52.40092565,0,0,0,0.015776887
J200921.3-513806,1,DJS: curved twin jet single peak. ,0,19.80375567,14.7291741,153.8896556,302.339209,-51.63581226,SINGLE,302.3386889,-51.634983,302.33868,-51.635034,20.5491,302.3386723,-51.6350282,0.59547806,0,0,0.000926329
J200933.8-531013,4,fr2? T-shaped galaxy ,24.59,58.4313,19.3968,117.450998,302.7595201,-51.95180065,FR1,302.3908144,-53.1701564,302.39078,-53.170127,15.5034,0,0,0,0,0,0.091996961
J200938.4-530941,4,frx ,16.64,43.8855,31.917,321.87912,302.4096416,-53.16298951,FR1,302.4101492,-53.1614893,302.410148,-53.161492,17.2507,302.4101436,-53.16150581,0.24728785,1.63E+25,-23.29398504,0.089450027
J200947.6-592758,4,FRI:  jet on N and diffuse blob to S,0,90.7544,37.2204,10.056276,302.446839,-59.4671569,SINGLE,302.4484519,-59.4661872,302.448427,-59.466178,21.9236,0,0,0,0,0,0.001504168
J200951.8-622214,0,elongated single peak,0,0,0,0,0,0,NA,302.4658897,-62.370481,0,0,0,0,0,0,0,0,0.003374472
J200957.0-591630,0,elongated single peak,0,0,0,0,0,0,NA,302.4876453,-59.2750647,302.487631,-59.275127,20.7323,302.4876253,-59.27513308,0.6640179,0,0,0.001708135
J201000.0-515245,4,fr2.ID OK,49.3,80.4336,32.049,327.79587,302.7818948,-52.95062115,FR2,302.5000627,-51.8790997,302.500054,-51.879085,18.8415,302.5000454,-51.8790841,0.34534034,4.3E+23,-22.53633951,0.0000484
J201006.9-485948,1,fr2,26.68332813,51.2463831,21.26002891,105.6861354,302.5289739,-48.99695076,FRx,302.5287066,-48.9966392,0,0,0,0,0,0,0,0,0.008297641
J201017.6-522855,4,asymmetric fr2,99.6,115.4824,30.3846,23.674442,302.5683227,-52.48543389,FR2,302.5733331,-52.4818365,302.573236,-52.48189,18.4412,302.573238,-52.48189067,0.23597114,2.72E+23,-21.98838607,0.000502042
J201021.4-483023,0,out of field ,0,0,0,0,0,0,NA,302.5893394,-48.5065255,0,0,0,0,0,0,0,0,-1
J201034.6-590607,4,asymetric fr2?,43.6,67.4591,31.8882,22.203478,302.6428456,-59.10474984,FR2,302.6442668,-59.1018477,302.644336,-59.101824,21.2511,302.6443271,-59.10182232,0.6491232,0,0,0.005576509
J201036.9-501642,1,djs or single curved jet?,0,38.30035233,23.15941815,103.4563346,302.6531185,-50.27928759,SINGLE,302.653548,-50.278246,302.653615,-50.278242,22.1008,302.653611,-50.27824114,0.8357416,0,0,0.003594486
J201051.4-525836,4,fr2 ID OK,116.4,137.8404,39.1813,44.730675,302.7150369,-52.97838459,FR2,302.7142212,-52.97663,302.713805,-52.976629,21.1053,0,0,0,0,0,0.025968414
